intent,button,entities
start,start conversation,
inform,Tell me something,
goodbye,Goodbye ,
greet,Hello,
affirm,Yes,
deny,No,
bot_challenge,If I am a bot,
out_of_scope, something strange,
filler, say ok,
create_skill,create a new skill,
show_all_skills,show the list of skills you have ,
add_skill,add data for a skill,
remove_skill,remove a particular skill,
show_performance,show your performance report,
